PREF,MUNI_CD,MUNI_NAME,SEQ,ADR,USE_PDF,USE_SRC,GC_LEVEL,GC_METHOD,GC_LAT,GC_LON,TRUTH_LAT,TRUTH_LON,IN_MUNI,ERROR_KM
23,23203,一宮市,15,丹陽町伝法寺911‐,3,3,town,A_normalize,35.263483,136.848964,35.268169,136.839897,True,0.974
23,23203,一宮市,16,篭屋1丁目,1,1,town,A_normalize,35.309147,136.767092,35.309874,136.768211,True,0.13
23,23204,瀬戸市,17,熊野町,5,5,town,A_normalize,35.219922,137.090974,35.218239,137.094785,True,0.394
23,23204,瀬戸市,18,紺屋田町,5,5,town,A_normalize,35.233802,137.112485,35.23168,137.111876,True,0.242
23,23206,春日井市,19,上条町2丁目,1,1,town,A_normalize,35.240761,136.983782,35.239571,136.983691,True,0.133
23,23206,春日井市,20,田楽町北植田,5,5,town,A_normalize,35.274312,136.950908,35.273849,136.952417,True,0.146
23,23208,津島市,21,神明町,5,5,town,A_normalize,35.177694,136.718471,35.178368,136.71863,True,0.076
23,23215,犬山市,22,字寺西,5,5,town,A_normalize,35.334250,136.951251,35.331061,136.953797,True,0.423
23,23219,小牧市,23,大字大草字壇之上5410番,3,3,town,A_normalize,35.301032,137.002779,35.282424,136.988229,True,2.455
23,23222,東海市,24,加木屋町白拍子69‐,3,3,city,A_city_fallback,35.022976,136.902229,35.01981,136.908772,True,0.692
23,23223,大府市,25,横根町坊主山1‐,5,5,town,A_normalize,35.039800,136.971247,35.007865,136.975292,True,3.57
23,23223,大府市,26,吉田地内,3,3,town,A_normalize,34.989565,136.934060,34.999304,136.938213,True,1.147
23,23223,大府市,27,吉田町正右エ門新田1‐,2,2,city,A_city_fallback,35.011611,136.963868,34.992402,136.940138,True,3.039
23,23225,知立市,28,新知字梅の木,1,1,city,A_city_fallback,35.001285,137.050843,34.974048,136.869458,False,16.799
23,23228,岩倉市,29,石仏町西浦,1,1,city,A_city_fallback,35.279433,136.871428,35.29405,136.869114,True,1.639
23,23229,豊明市,30,沓掛町陣田17‐,3,3,city,A_city_fallback,35.053756,137.013124,35.074448,137.033997,True,2.984
23,23230,日進市,31,岩崎町葦廻間,5,5,town,A_normalize,35.145028,137.044798,35.154034,137.033189,True,1.455
23,23234,北名古屋市,32,法成寺中道,5,5,city,A_city_fallback,35.245657,136.865961,35.253631,136.854921,True,1.338
23,23235,弥富市,33,子宝2‐,2,2,town,A_normalize,35.107905,136.768203,35.103732,136.773489,True,0.668
23,23236,みよし市,34,三好町小坂,5,5,city,A_city_fallback,35.089699,137.074728,35.085744,137.076761,True,0.477
23,23237,あま市,35,七宝町下田矢倉下,5,5,city,A_city_fallback,35.188266,136.803703,35.169368,136.786767,True,2.605
