MUNI_CD,pref,county,city,ward,lon,lat
07546,福島県,双葉郡,双葉町,,141.00634,37.452917
07547,福島県,双葉郡,浪江町,,141.0007459,37.49459414
07548,福島県,双葉郡,葛尾村,,140.764518,37.503547
07561,福島県,相馬郡,新地町,,140.919591,37.876379
07564,福島県,相馬郡,飯舘村,,140.735091,37.678947
08201,茨城県,,水戸市,,140.471222,36.365861
08202,茨城県,,日立市,,140.65154600000002,36.599016
08203,茨城県,,土浦市,,140.204306,36.078313
08204,茨城県,,古河市,,139.755371,36.178228
08205,茨城県,,石岡市,,140.287242,36.19084
08207,茨城県,,結城市,,139.871455,36.289588
08208,茨城県,,龍ケ崎市,,140.182265,35.911594
08210,茨城県,,下妻市,,139.96824,36.184368
08211,茨城県,,常総市,,139.993934,36.023563
08212,茨城県,,常陸太田市,,140.530929,36.538227
08214,茨城県,,高萩市,,140.709302,36.713796
08215,茨城県,,北茨城市,,140.751032,36.801892
08216,茨城県,,笠間市,,140.304232,36.345128
08217,茨城県,,取手市,,140.050305,35.911474
08219,茨城県,,牛久市,,140.149532,35.979397
08220,茨城県,,つくば市,,140.0764732,36.08356016
08221,茨城県,,ひたちなか市,,140.534676,36.396615
08222,茨城県,,鹿嶋市,,140.6448524,35.9657207
08223,茨城県,,潮来市,,140.555364,35.947134
08224,茨城県,,守谷市,,139.9754653,35.95132697
08225,茨城県,,常陸大宮市,,140.411012,36.542592
08226,茨城県,,那珂市,,140.486726,36.457424
08227,茨城県,,筑西市,,139.97941600000001,36.305241
08228,茨城県,,坂東市,,139.88868,36.048363
08229,茨城県,,稲敷市,,140.303612,35.972914
08230,茨城県,,かすみがうら市,,140.23700600000004,36.151812
08231,茨城県,,桜川市,,140.090478,36.327273
08232,茨城県,,神栖市,,140.664527,35.889972
08233,茨城県,,行方市,,140.4890999,35.99016591
08234,茨城県,,鉾田市,,140.516437,36.158687
08235,茨城県,,つくばみらい市,,140.037069,35.962911
08236,茨城県,,小美玉市,,140.352589,36.239283
08302,茨城県,東茨城郡,茨城町,,140.424517,36.286921
08309,茨城県,東茨城郡,大洗町,,140.574888,36.313356
08310,茨城県,東茨城郡,城里町,,140.376241,36.479297
08341,茨城県,那珂郡,東海村,,140.566301,36.472882
08364,茨城県,久慈郡,大子町,,140.36346900000004,36.764385
08442,茨城県,稲敷郡,美浦村,,140.301906,36.004554
08443,茨城県,稲敷郡,阿見町,,140.214769,36.03087
08447,茨城県,稲敷郡,河内町,,140.244516,35.884743
08521,茨城県,結城郡,八千代町,,139.891145,36.18163200000001
08542,茨城県,猿島郡,五霞町,,139.745832,36.114116
08546,茨城県,猿島郡,境町,,139.795054,36.108529
08564,茨城県,北相馬郡,利根町,,140.139106,35.857825
09201,栃木県,,宇都宮市,,139.882807,36.555115
09202,栃木県,,足利市,,139.449696,36.340146
09203,栃木県,,栃木市,,139.7341111,36.38241388000001
09204,栃木県,,佐野市,,139.578369,36.314354
09205,栃木県,,鹿沼市,,139.745098,36.56712
09206,栃木県,,日光市,,139.698204,36.719861
09208,栃木県,,小山市,,139.800132,36.314477
09209,栃木県,,真岡市,,140.013428,36.440427
09210,栃木県,,大田原市,,140.015458,36.871076
09211,栃木県,,矢板市,,139.924226,36.806732
09213,栃木県,,那須塩原市,,140.046044,36.96169
09214,栃木県,,さくら市,,139.966474,36.685295
09215,栃木県,,那須烏山市,,140.151376,36.656891
09216,栃木県,,下野市,,139.851928,36.39521
09301,栃木県,河内郡,上三川町,,139.910214,36.439268
09342,栃木県,芳賀郡,益子町,,140.093381,36.46735300000001
09343,栃木県,芳賀郡,茂木町,,140.187535,36.532184
09344,栃木県,芳賀郡,市貝町,,140.102113,36.543242
09345,栃木県,芳賀郡,芳賀町,,140.058199,36.548212
09361,栃木県,下都賀郡,壬生町,,139.814656,36.442168
09364,栃木県,下都賀郡,野木町,,139.740818,36.233263
09384,栃木県,塩谷郡,塩谷町,,139.85752,36.779292000000005
09386,栃木県,塩谷郡,高根沢町,,139.986672,36.630976
09407,栃木県,那須郡,那須町,,140.121008,37.01977
